,data,data,loo_ptest[DP],loo_ptest[DP],loo_ptest[DP],lci_dpp[DP],lci_dpp[DP],lci_dpp[DP],lci_dpp[DP],lci_dpp[0.3][DP],lci_dpp[0.3][DP],lci_dpp[0.3][DP],lci_dpp[0.3][DP],ci_dpp[DP],ci_dpp[DP],ci_dpp[DP],ci_dpp[DP],rw_dpp[DP],rw_dpp[DP],rw_dpp[DP],rw_dpp[DP],dns_dpp[DP],dns_dpp[DP],dns_dpp[DP],dns_dpp[DP],diamond_dpp[DP],diamond_dpp[DP],diamond_dpp[DP],diamond_dpp[DP],node2vec_dpp[DP],node2vec_dpp[DP],node2vec_dpp[DP],node2vec_dpp[DP],subgraph_metrics[DP],subgraph_metrics[DP],subgraph_metrics[DP]
C0273115,Lung Injury,,20,0.01,0.0,0.25,0.15,0.8945129312346195,0.02680806719034697,0.25,0.05,0.9047093374193248,0.009745758914975136,0.25,0.1,0.865503552027,0.025315318216599998,0.05,0.0,0.82693852439987,0.002871784151971761,0.0,0.0,0.673080048288991,0.000952939906901701,0.05,0.0,0.5182569531503923,0.0009810692232694184,0.0,0.0,0.8534359474392905,0.0013030121154954824,0.9874450721908348,0.8203855248659825,0.10526315789473684
C0454555,Hypernasal voice,,39,0.68,0.74,0.025,0.0,0.7166469157604487,0.0009319501428561825,0.025,0.0,0.7191440499426837,0.0008974327301936132,0.025,0.025,0.664859652384,0.00168560015251,0.025,0.0,0.6976202094370605,0.0011325053149274903,0.0,0.0,0.5905393159215542,0.0005661214468440098,0.05,0.0,0.5182893391579144,0.001463371837411516,0.025,0.0,0.574504290981194,0.0009838356062452113,0.9866008462623412,0.6947617709629511,0.02564102564102564
C0473527,Hypoalphalipoproteinemias,,10,0.03,0.37,0.0,0.0,0.7994848470784796,0.0015818600799651047,0.0,0.0,0.7763632988351047,0.0015332240031369186,0.1,0.0,0.865967420058,0.0025227642142199996,0.3,0.2,0.8850234371374206,0.028146815676669316,0.1,0.0,0.686295075880633,0.0030392640935605194,0.1,0.1,0.5436464473012484,0.005041767217375163,0.2,0.1,0.7904209402701071,0.052414107785336526,0.9814169570267132,0.9619735908952756,0.17777777777777778
C1321329,Slowed saccades,,11,0.12,0.98,0.0,0.0,0.6895665088647546,0.0003086075664441956,0.0,0.0,0.7173744546551564,0.00027473403062727746,0.0,0.0,0.633785853523,0.00021986554207499998,0.0,0.0,0.7024668151861134,0.0008662794418376848,0.0,0.0,0.5801749744732201,0.0004686204355868672,0.0,0.0,0.4930381509328877,5.105075966009834e-05,0.0,0.0,0.4175763482781025,0.0008778651201775638,0.9957805907172996,0.9798499023337104,0.03636363636363636
C0024667,Animal Mammary Neoplasms,,137,0.0,0.02,0.0945054945054945,0.021428571428571432,0.7932418351956166,0.008559849818192408,0.06538461538461539,0.014835164835164838,0.7864646627881922,0.005985187238178656,0.102197802198,0.0659340659341,0.815043119812,0.0125846512639,0.07307692307692308,0.021978021978021976,0.8080573383199434,0.0072668579532634515,0.0,0.0,0.7354259780835412,0.0015046448611895286,0.05054945054945055,0.021978021978021976,0.5446327377104687,0.007439402639102004,0.021428571428571432,0.0071428571428571435,0.7332698720513846,0.002944576757605761,0.9570972698262616,0.4769146020497684,0.03896522112494633
C0029422,Osteochondrodysplasias,musculoskeletal system ,72,0.0,0.08,0.2375,0.1392857142857143,0.8401100435519797,0.03584747298181888,0.26428571428571423,0.1392857142857143,0.8314116991921272,0.022095412832064027,0.194642857143,0.153571428571,0.797241680242,0.0607015494362,0.2107142857142857,0.14285714285714285,0.8497639133614815,0.04220171883628818,0.09642857142857142,0.028571428571428567,0.7684550683200906,0.006194804301767547,0.042857142857142864,0.042857142857142864,0.5219255959307156,0.03378449755788347,0.028571428571428567,0.014285714285714284,0.7632398018551149,0.0054196115823320215,0.9617224880382776,0.7555404116123756,0.0297339593114241
C4025763,Abnormality of the rib cage,,12,0.15,0.5,0.0,0.0,0.8072917150150847,0.0007391199290484963,0.0,0.0,0.7921884427941517,0.00047988412350452863,0.0,0.0,0.7063378974240001,0.000435525563521,0.0,0.0,0.7801137154792296,0.0010343344197338356,0.0,0.0,0.47974704107681604,5.569393093524347e-05,0.0,0.0,0.543269900208865,0.0010411517081248254,0.0,0.0,0.6022070085866791,0.00025682598221086025,0.9850467289719628,0.9531672389858992,0.12121212121212123
C0026351,Moderate mental retardation (I.Q. 35-49),,28,0.19,0.81,0.0,0.0,0.7135747131775745,0.0012339740124397663,0.0,0.0,0.7286984996980815,0.0008100114723747715,0.0,0.0,0.645702695589,0.0008324045945139999,0.0,0.0,0.6565996253115952,0.000756490573225887,0.0,0.0,0.5499934197284283,0.000387223821099029,0.0,0.0,0.5260083298496602,0.00037028728351999976,0.0,0.0,0.5214222676389986,0.00029759515057351405,0.9911788291900562,0.789571760697109,0.0291005291005291
C0751778,"Myoclonic Epilepsies, Progressive",monogenic ,40,0.0,0.26,0.175,0.1,0.7919714644234791,0.01577504755532154,0.175,0.175,0.7737091601989124,0.02782988807112353,0.075,0.025,0.754081656365,0.009315530808299999,0.075,0.025,0.7885625319514803,0.0050175736589965145,0.025,0.0,0.6669906353116142,0.002666296634166189,0.0,0.0,0.5055432913510247,0.00035978977344387867,0.075,0.025,0.6181379839196914,0.010401320426574049,0.969486823855756,0.9450794535823808,0.028205128205128206
C0206754,Neuroendocrine Tumors,endocrine system ,11,0.03,0.54,0.25,0.25,0.9438619697391628,0.08313180202405959,0.25,0.25,0.9078645688294812,0.06636678146534992,0.25,0.25,0.9294787895669999,0.0647082693688,0.25,0.0,0.91486586837464,0.004277871861853086,0.0,0.0,0.5869442123828089,0.0008443704674894756,0.2,0.1,0.593961756242458,0.015369149677419059,0.2,0.0,0.8348301308827624,0.004185069941093016,0.9857549857549858,0.9553643888979062,0.09090909090909093
C0019158,Hepatitis,,22,0.0,0.08,0.0,0.0,0.8123009055026701,0.0013901156877397563,0.0,0.0,0.8237682841885304,0.0018544741639357808,0.133333333333,0.0333333333333,0.786560637722,0.00464393120971,0.0,0.0,0.7837798931971209,0.0010980409892748864,0.0,0.0,0.617803962541599,0.0006549544536690817,0.08333333333333333,0.0,0.5516237133348814,0.003220735042283635,0.05,0.05,0.8309914093336429,0.004313332420492191,0.9649402390438248,0.9524650803290454,0.09523809523809523
C3808249,Optic disc abnormalities,,12,0.0,0.25,0.15,0.15,0.6926583894174982,0.018193702588949062,0.1,0.0,0.7150626595497795,0.0018805964483901282,0.1,0.0,0.6860536087260001,0.0020860404305499997,0.0,0.0,0.7336992341610584,0.0006340900492978175,0.0,0.0,0.4882965885356231,5.569393093524347e-05,0.0,0.0,0.4930378278022743,5.569393093524347e-05,0.1,0.0,0.6429751682524948,0.002420900121578239,0.9900497512437813,0.9877950859161716,0.045454545454545456
C0019151,Hepatic Encephalopathy,nervous system ,15,0.0,0.02,0.3,0.1,0.8395576083929068,0.059317275313693026,0.35,0.15,0.9116052362826108,0.029550685920488488,0.35,0.15,0.9151982174359999,0.0220898947499,0.3,0.05,0.9200700956271469,0.010548260522934377,0.1,0.0,0.7103274997678952,0.0027100281031930146,0.05,0.05,0.5932712840033423,0.009306387854487123,0.05,0.0,0.7109924798068887,0.002435729284933186,0.9765625,0.9224831663655771,0.11428571428571427
C1446712,Overlapping fingers,,10,0.08,0.09,0.4,0.2,0.877358797048313,0.015567607140545147,0.5,0.2,0.8725042929410127,0.021362191365995882,0.2,0.0,0.851930663201,0.006127046254489999,0.3,0.2,0.8481227084977027,0.025588429913028687,0.3,0.0,0.7416948995219752,0.008873756933652952,0.3,0.3,0.6448902399405949,0.02122813778742706,0.2,0.2,0.7675685710307701,0.15055170445852367,0.9808306709265175,0.9456881839172774,0.13333333333333333
C0079154,Congenital Nonbullous Ichthyosiform Erythroderma,monogenic ,12,0.06,0.42,0.5,0.4,0.7523752610814574,0.0752817567914479,0.4,0.3,0.8474553260617312,0.052843955917184264,0.5,0.2,0.787606173126,0.0237421848697,0.0,0.0,0.7264144813181713,0.002541047231754489,0.0,0.0,0.5938036667440242,0.0016395183338486535,0.0,0.0,0.4930378278022743,5.569393093524347e-05,0.2,0.0,0.7842237177999536,0.004173566944696725,0.9718309859154929,0.9057205501295597,0.07575757575757576
C0152013,Adenocarcinoma of lung (disorder),respiratory system ,59,0.0,0.01,0.1,0.06666666666666668,0.8747483486835984,0.022269156717889087,0.11666666666666665,0.06666666666666668,0.8633717865227772,0.016462110205789512,0.1,0.06666666666669999,0.8672378825939999,0.018446980161400003,0.13666666666666666,0.03333333333333333,0.8520738363258598,0.009751424560097654,0.0,0.0,0.7704022079573293,0.0010379609371349394,0.06666666666666668,0.0,0.5433342636524329,0.0020754813048128,0.03666666666666667,0.0,0.7754017427977796,0.0028388756726953307,0.971908763505402,0.5383868889113169,0.06838106370543542
C1850072,Tented upper lip,,19,0.21,0.12,0.0,0.0,0.6632161760609157,0.0004332037309729361,0.0,0.0,0.6607414801745752,0.0004363678150773375,0.0,0.0,0.621190454081,0.00036531494451,0.0,0.0,0.6435741480174575,0.000300799734780591,0.0,0.0,0.480281363172068,8.820820068435815e-05,0.05,0.0,0.5182270870090073,0.000808203356309888,0.0,0.0,0.43312517411087387,0.00015216275146050974,0.988593155893536,0.9569961116592188,0.03508771929824561
C0002962,Angina Pectoris,,14,0.05,0.38,0.15,0.0,0.7809590122081419,0.00534321716144935,0.25,0.15,0.7853896857447895,0.017885559209174545,0.1,0.0,0.7640138328,0.0048755024678400006,0.2,0.05,0.8065682588311749,0.007829144096826161,0.25,0.0,0.6903321264447848,0.005216186511887715,0.0,0.0,0.4930371814510514,6.498156648788272e-05,0.2,0.0,0.8070719027062154,0.0034014896482680683,0.966412213740458,0.9702268431001891,0.12087912087912088
C3496069,cocaine use,,10,0.34,0.22,0.0,0.0,0.5945630482201698,0.00029760728241816673,0.0,0.0,0.6014920870654847,0.0002145973222073328,0.0,0.0,0.507423307189,0.00018494555688,0.0,0.0,0.5912424003341533,0.0002889711894879511,0.0,0.0,0.4881166751751984,4.640801930573604e-05,0.0,0.0,0.543135935397039,0.0008109979866059318,0.0,0.0,0.39499698333874783,0.00013331135974724802,0.9932998324958124,0.9771611929029824,0.04444444444444445
C0241910,"Hepatitis, Autoimmune",immune system ,17,0.0,0.03,0.25,0.05,0.8292571959145775,0.01273884087394519,0.3,0.1,0.7754851439182916,0.011326305582547264,0.25,0.05,0.80146007428,0.0116573581889,0.05,0.0,0.8243337975858868,0.002941476937344218,0.05,0.0,0.5436130454967503,0.0010802917584849321,0.05,0.05,0.5183623491179201,0.004619728704164511,0.3,0.15,0.8606963788300837,0.041484489816010085,0.9253333333333332,0.9740909760047108,0.10294117647058824
C0033578,Prostatic Neoplasms,cancer,474,0.0,0.15,0.07176418439716313,0.03368794326241134,0.7586347898276418,0.016578250940613288,0.0886968085106383,0.025310283687943257,0.7649571250895228,0.02048875113070409,0.052748226950400004,0.021010638297900005,0.7422394418899999,0.0163129968682,0.027349290780141842,0.008466312056737589,0.7477305576355929,0.009698427166758308,0.0,0.0,0.6969647951712634,0.004314968001797764,0.03164893617021276,0.012677304964539005,0.5351789116672604,0.005478584788747855,0.03386524822695035,0.008466312056737587,0.6767661829991091,0.008682755934612053,0.9080218395632088,0.6488625799030396,0.01367516792892124
C0008297,Choanal Atresia,respiratory system ,28,0.01,0.14,0.15,0.11666666666666665,0.7852764488209699,0.08140206081559279,0.15,0.11666666666666665,0.7876476690355645,0.03563681753685676,0.116666666667,0.05,0.775962655023,0.027381438024,0.0,0.0,0.7790902193939957,0.0011724982426635545,0.0,0.0,0.5983251273476087,0.0005584988560995159,0.0,0.0,0.517822472014492,0.00033200697863537383,0.0,0.0,0.6015761685788161,0.00034076250081826277,0.9862136878385032,0.8491512745267277,0.037037037037037035
C3552713,Talipes foot deformities,,19,0.0,0.35,0.3,0.05,0.8125789302627915,0.009869475761405216,0.25,0.05,0.8058071780109575,0.006617059762516961,0.1,0.0,0.763523771938,0.0034313520428,0.25,0.1,0.8113659578419539,0.020421876976243945,0.1,0.0,0.7035623084780388,0.0038437432417223172,0.05,0.05,0.5183454824031944,0.002861343452928245,0.05,0.05,0.565282291763395,0.00782535798565418,0.9850746268656716,0.9228055015482104,0.06432748538011697
C1855773,"Psychomotor retardation, profound",,16,0.0,0.01,0.8,0.75,0.9746808411865744,0.21426909296288613,0.8,0.7,0.9591987372916764,0.6165285293079699,0.8,0.7,0.9521958126360001,0.401929337301,0.7,0.5,0.9501114154403232,0.37540760550228464,0.8,0.3,0.8969383965461214,0.04176868478153985,0.55,0.55,0.7718536743883757,0.4976515412032369,0.75,0.6,0.9516340931247391,0.2357651970365163,0.8808193668528864,0.9736050011576752,0.26666666666666666
C4280678,Posterior displacement of the tongue,,10,0.52,0.23,0.0,0.0,0.752986494639625,0.0004424071260283862,0.0,0.0,0.7554323107625193,0.0006232483092123392,0.0,0.0,0.705513528565,0.000346581857104,0.0,0.0,0.6962732630992714,0.0010305751630067953,0.0,0.0,0.5788299995358982,0.00044561982671006484,0.0,0.0,0.4930384740335082,4.640801930573604e-05,0.0,0.0,0.6377918039634288,0.0007225050878162374,0.9869524697110904,0.9089984329035272,0.15555555555555556
C4280679,Increased calcium level in kidney,,20,0.54,0.26,0.0,0.0,0.5870316200027859,0.0005984193817602817,0.0,0.0,0.5897687700236802,0.0005741114918641088,0.0,0.0,0.5103264150069999,0.00018742354131799998,0.0,0.0,0.5675720852486419,0.000242943478755892,0.0,0.0,0.4883317082230579,9.28548214866057e-05,0.05,0.05,0.5183358870780517,0.0023609393531395483,0.0,0.0,0.5868853600780053,0.00039156988626519153,0.9797979797979798,0.9870815138282388,0.03157894736842105
C0311468,Increased bilirubin level (finding),,18,0.0,0.27,0.25,0.2,0.6792469473977436,0.021378577474614708,0.2,0.05,0.6428525001160684,0.005859165425103937,0.25,0.2,0.674912948605,0.030341338980700003,0.25,0.1,0.691441106829472,0.054754697788617385,0.2,0.05,0.6143135707321602,0.006801562240791176,0.25,0.25,0.6197595060123497,0.20506499255570887,0.05,0.05,0.6773109243697479,0.02565203208030193,0.9741379310344828,0.9837379882868028,0.05882352941176471
C1868571,"Thick, flared eyebrows",,41,0.06,0.42,0.195,0.075,0.8210578174381856,0.015265109324017622,0.195,0.1,0.7776450083658673,0.026679630343004503,0.15,0.1,0.761627393568,0.0282267821012,0.06999999999999999,0.0,0.7633730712028257,0.0032099244821693577,0.0,0.0,0.7101422197434468,0.0012989186399593685,0.095,0.02,0.565770240751069,0.0027808936180369263,0.0,0.0,0.674380693437442,0.0007985913992902462,0.979867549668874,0.7307235894103353,0.04634146341463415
C1868577,Patella aplasia-hypoplasia,,12,0.06,0.53,0.15,0.0,0.7428881411000233,0.005602077487886533,0.45,0.0,0.7661510791366906,0.013890906637870768,0.45,0.3,0.684306103504,0.0753133842216,0.35,0.0,0.7642886980737991,0.005319037738970258,0.0,0.0,0.7114411696449292,0.002511349915130779,0.05,0.0,0.5683754931538639,0.0015193984291289471,0.2,0.15,0.7460663727082849,0.01452119554674706,0.9818511796733213,0.8667184146842609,0.15151515151515152
C0004352,Autistic Disorder,,267,0.0,0.14,0.022507122507122508,0.011253561253561254,0.7492153298834839,0.005599495153309342,0.03005698005698005,0.018803418803418803,0.7485234229785662,0.008042001757849946,0.0225071225071,0.0075498575498600005,0.736839075499,0.00507053209699,0.033618233618233614,0.011253561253561254,0.7450060285382033,0.005392814069292467,0.0,0.0,0.668573233691834,0.0027686159615590124,0.01111111111111111,0.007407407407407406,0.5042542477441491,0.0019568236712923176,0.029914529914529912,0.003703703703703704,0.70659261801817,0.006616655690424161,0.9561601353256272,0.4775903318814797,0.008757849680380727
C1843367,Poor school performance,,638,0.0,0.18,0.03288690476190476,0.007837301587301587,0.7648283988382627,0.013780177144807736,0.02348710317460317,0.010962301587301588,0.7779994982062333,0.012957801935805818,0.0187996031746,0.0062748015873,0.7178055881829999,0.0096355277201,0.017237103174603176,0.00625,0.7471663898999694,0.01088753692918162,0.0,0.0,0.6638943248694701,0.004643147801235514,0.012524801587301588,0.004712301587301587,0.5109553349958305,0.003850712682868344,0.02038690476190476,0.00625,0.6521818164659301,0.008596956439065492,0.9173054138356264,0.719480445978833,0.008415230090106937
C1836926,Fundus with peripheral 'bony spicules',,10,0.01,0.0,0.0,0.0,0.712361349607834,0.00040985285980760943,0.0,0.0,0.7350420012066645,0.00039818752184741775,0.0,0.0,0.708699586949,0.000359759854266,0.2,0.2,0.7251473522996241,0.11071529555942994,0.2,0.2,0.5924351417830789,0.1333704597487779,0.0,0.0,0.5425001160254327,0.000416299052581155,0.1,0.0,0.6105954425210005,0.0014613127314550482,0.9835390946502056,0.9842168468004804,0.08888888888888889
C0282160,Aplasia Cutis Congenita,,14,0.0,0.09,0.5,0.3,0.9485830664252888,0.12762388683938608,0.6,0.3,0.9597096504665088,0.07623316716481622,0.5,0.3,0.95019147751,0.0777216842069,0.7,0.5,0.9366081789908554,0.06309192094188829,0.3,0.15,0.8915761500255304,0.014483074049836134,0.35,0.2,0.6702223460056632,0.051156191884365966,0.35,0.1,0.9114538365130208,0.011685260851020104,0.9665471923536441,0.9471266714300296,0.15384615384615385
C0158465,Acquired cubitus valgus,,18,0.01,0.0,0.2,0.0,0.6987441385393937,0.005199029056883186,0.2,0.0,0.7145062444867449,0.006208487398931631,0.3,0.15,0.643911045081,0.017651896451299998,0.1,0.0,0.7105134871628209,0.003931319853014725,0.0,0.0,0.6798748781280468,0.001292011110204676,0.25,0.1,0.6442522865499791,0.01746775765310285,0.0,0.0,0.7358071405357723,0.000978902462553855,0.9696969696969696,0.8779622354581168,0.12418300653594773
C0021831,Intestinal Diseases,gastrointestinal system ,10,0.17,0.44,0.0,0.0,0.5203856685385435,0.0003292403521180528,0.0,0.0,0.5192300552281061,0.00011913524021095073,0.0,0.0,0.515336241704,0.00011194251616299998,0.0,0.0,0.6609597623799137,0.00017949493127982348,0.0,0.0,0.4892931730635355,4.640801930573604e-05,0.0,0.0,0.4930384740335082,4.640801930573604e-05,0.0,0.0,0.3832087993688217,0.00015463663314934254,0.9850467289719628,0.9866267816294212,0.08888888888888889
C3806283,Frequent fractures,,52,0.0,0.25,0.23,0.09333333333333334,0.8539796946446563,0.015750590430671042,0.23,0.09333333333333334,0.8325688599550493,0.020188639309610644,0.153333333333,0.0766666666667,0.8210165077889999,0.015785981930499998,0.09666666666666668,0.06000000000000001,0.8072192513368984,0.007707855255323461,0.04,0.02,0.6139002557544757,0.0021200169870653897,0.0,0.0,0.4930248779353638,0.0002417454307107339,0.02,0.0,0.7195363868867706,0.0015938846706376336,0.9686888454011742,0.8644900899373934,0.030165912518853692
C0027404,Narcolepsy,,16,0.01,0.19,0.1,0.1,0.5231697692771923,0.0045944047288822175,0.1,0.1,0.520857898890488,0.0057934441191015255,0.1,0.0,0.53970335639,0.00312699685902,0.0,0.0,0.5570423842904229,0.0006234472778441008,0.2,0.1,0.595321712083933,0.033078542640049016,0.0,0.0,0.49303653497980604,7.427092644376604e-05,0.1,0.0,0.4414001207000604,0.0016289046319497072,0.9640287769784172,0.982608695652174,0.04166666666666666
C0015967,Fever,,124,0.0,0.02,0.1032051282051282,0.0391025641025641,0.8084010159267938,0.015299848813379287,0.09615384615384616,0.03974358974358975,0.8018706774958817,0.014097246003495403,0.0391025641026,0.023076923076900003,0.78103457764,0.005566048416529999,0.08076923076923077,0.008333333333333333,0.7878512286947876,0.005384557688333889,0.007692307692307694,0.0,0.7043151018020378,0.0020179316954993505,0.039743589743589734,0.03205128205128205,0.5208259011086426,0.002874728551231226,0.0737179487179487,0.025,0.7398864918344226,0.007220218320366481,0.9508501214459208,0.6471302139736359,0.022554419092578024
C0001418,Adenocarcinoma,cancer,112,0.0,0.36,0.16818181818181815,0.07196969696969696,0.8533986872690532,0.02146556231274188,0.16818181818181818,0.026515151515151512,0.8512178794237549,0.0172326549284688,0.13257575757600001,0.0530303030303,0.819871341063,0.0282876402937,0.07954545454545456,0.017424242424242425,0.8159900591364802,0.006404771155042321,0.0,0.0,0.7350064294142167,0.0014241109309861431,0.08939393939393939,0.02575757575757576,0.5691244338936109,0.008915534986788045,0.027272727272727268,0.00909090909090909,0.7923211245116119,0.003330908402349919,0.9577380057151452,0.4325019231287284,0.045205920205920215
C1510586,Autism Spectrum Disorders,,72,0.02,0.09,0.014285714285714284,0.014285714285714284,0.7664403736826358,0.002785368148075144,0.05535714285714286,0.0125,0.7432826058047143,0.003439518877761601,0.08392857142860001,0.0285714285714,0.7612848665180001,0.006256307535869999,0.06964285714285715,0.014285714285714284,0.7446171332158651,0.00516057375471599,0.05535714285714286,0.0,0.6090291814887463,0.0020192988767149963,0.014285714285714284,0.0,0.5073779048505601,0.0006713495426049099,0.028571428571428567,0.0,0.6838008244954951,0.0014115951446294413,0.9664233576642336,0.8291207182590027,0.017996870109546162
C0558242,Stretched skin,,9,0.21,0.14,0.2222222222222222,0.0,0.803810098385001,0.0073177929766583966,0.1111111111111111,0.0,0.7823695934657509,0.0025917927486163264,0.222222222222,0.0,0.7598668605490001,0.0053833040001700005,0.1111111111111111,0.1111111111111111,0.8591980694263969,0.016692636826761895,0.1111111111111111,0.1111111111111111,0.5998958397788916,0.0046849730999807574,0.1111111111111111,0.0,0.5490378070663944,0.0017506513678029756,0.0,0.0,0.6811356557968772,0.0007677609076955725,0.9810725552050472,0.968814715556097,0.16666666666666666
C0887833,"Carcinoma, Pancreatic Ductal",cancer,20,0.06,0.26,0.15,0.05,0.8772333658355388,0.011015148853214014,0.25,0.15,0.8711183080280447,0.018994327935697955,0.4,0.1,0.871786924827,0.017840165512700002,0.25,0.1,0.8575753354691926,0.033337496240943586,0.15,0.0,0.6821702186934113,0.004679561601362738,0.1,0.1,0.5685842967915681,0.011639706689194458,0.2,0.05,0.8214932441844267,0.008965873594729546,0.9741144414168936,0.8927845065719576,0.1
C1837522,Decreased pain sensation,,16,0.73,0.68,0.0,0.0,0.8031149900190334,0.0006697028396351977,0.0,0.0,0.8008843600575647,0.0005347009870713326,0.05,0.05,0.7278468966159999,0.010310731456200001,0.05,0.05,0.7932291908453648,0.0077714388981343285,0.0,0.0,0.7176396174736549,0.0005247660630769722,0.05,0.05,0.5183835476533123,0.02506962904741113,0.0,0.0,0.4390070098881204,0.0004917512283979919,0.9886666666666668,0.8896430329519519,0.14166666666666666
C0033774,Pruritus,,56,0.0,0.09,0.17666666666666667,0.05333333333333333,0.8008202719253369,0.010014852153992029,0.1733333333333333,0.08666666666666667,0.8069337860254562,0.02365866277535493,0.12,0.05333333333330001,0.7404691254670001,0.024635256648200002,0.1,0.016666666666666666,0.7547487713749748,0.005394447901779622,0.03333333333333333,0.016666666666666666,0.6409256158628281,0.0022987443602547194,0.09,0.07333333333333332,0.5486151031734957,0.010098944237283991,0.05333333333333333,0.016666666666666666,0.7284845666093049,0.006798991550411644,0.963716814159292,0.8678313411270195,0.026623376623376625
C4280495,Concave bridge of nose,,196,0.0,0.29,0.09631578947368423,0.03552631578947369,0.8194561411721806,0.016435799055076836,0.0863157894736842,0.010263157894736842,0.8210077514604824,0.008761599632917703,0.0357894736842,0.005,0.7643245191060001,0.00484576157925,0.03605263157894737,0.015263157894736843,0.7919986066589628,0.009316005739887155,0.02052631578947368,0.0,0.7146729159634257,0.0030107897506970486,0.035789473684210524,0.005263157894736842,0.5211245161496973,0.007000968821491115,0.030263157894736843,0.005,0.6539282731194823,0.003669968488073892,0.9534490055014812,0.4950260688543812,0.014390371533228676
C0042109,Urticaria,,31,0.0,0.08,0.1,0.0,0.8155811576697947,0.004529615661233813,0.03333333333333333,0.0,0.7932782836260026,0.002395135112160121,0.0333333333333,0.0,0.7762446189100001,0.00274768931948,0.0,0.0,0.7768435070767135,0.0016052342167939908,0.0,0.0,0.5975781225804454,0.0006225626058615056,0.1,0.03333333333333333,0.593253120257673,0.008613862869794368,0.0,0.0,0.7982931493697546,0.001002011093889948,0.9783295711060948,0.8397920778727213,0.05161290322580645
C0020490,Hyperopia,nervous system ,43,0.09,0.12,0.0,0.0,0.6857345217067956,0.000855619787833593,0.0,0.0,0.7033616482290601,0.0011396291717407586,0.0,0.0,0.665504903784,0.0007686206930780001,0.025,0.0,0.6941453239750861,0.0015232358990863836,0.0,0.0,0.5400113879334387,0.0005388336962146043,0.0,0.0,0.5153219996281491,0.00036974147985114616,0.02,0.0,0.4744268848191874,0.0007671468725781714,0.9831791421362488,0.8766468799768351,0.0221483942414175
C0018772,"Hearing Loss, Partial",,182,0.0,0.11,0.09883040935672514,0.04912280701754386,0.7884914742997845,0.02245360714435529,0.08801169590643274,0.054678362573099416,0.7898654628774665,0.0250033220758085,0.0821637426901,0.04385964912280001,0.739962449985,0.0169464965884,0.09298245614035086,0.01111111111111111,0.7907811839540371,0.008084916634832729,0.01111111111111111,0.0,0.6722399233952328,0.0024633513233041,0.03888888888888888,0.02222222222222222,0.5154256010396361,0.0029992964599703828,0.05497076023391813,0.010818713450292398,0.6349821141547827,0.003787984599932953,0.9537787717826856,0.5206468592192802,0.015056766437981909
C1860614,ULNAR HYPOPLASIA,,24,0.02,0.3,0.13333333333333333,0.0,0.7970970912862428,0.004360452571272029,0.2,0.05,0.8319985603492315,0.009201397878767734,0.2,0.1,0.737297403985,0.021561608243999997,0.18333333333333326,0.08333333333333333,0.7853658725367266,0.007884071182037109,0.0,0.0,0.7000735305500085,0.0019005993760148273,0.05,0.05,0.5432731156829053,0.0059194923484192676,0.0,0.0,0.7015371754980727,0.0012531134275827489,0.9842650103519668,0.7027691666866924,0.06884057971014493
C0003811,Cardiac Arrhythmia,,97,0.0,0.2,0.07111111111111112,0.02,0.8424300507403956,0.005527485510797928,0.042222222222222223,0.01111111111111111,0.8318557005281143,0.005128142041255222,0.0422222222222,0.011111111111099999,0.7794659314489999,0.00522626787052,0.04222222222222222,0.01,0.8126888267577923,0.0038311618361840773,0.0,0.0,0.720109816713265,0.001976979890513777,0.06222222222222223,0.0,0.5293930568499534,0.0023159836913684397,0.021111111111111112,0.01,0.6969001760381072,0.003584371192670357,0.956173730481564,0.5437035092325194,0.035867697594501716
C0018995,Hemochromatosis,inherited metabolic disorder,12,0.0,0.11,0.35,0.2,0.6958134137851009,0.03041773066182072,0.5,0.15,0.7785286609422142,0.06508647988491076,0.5,0.5,0.7506010675329999,0.058052621148899995,0.55,0.5,0.8555581341378511,0.1470649146927832,0.55,0.4,0.7723996286841495,0.04206433148928217,0.15,0.15,0.5690508238570433,0.053892565527066685,0.1,0.0,0.8221257832443722,0.002348605556346549,0.9465648854961832,0.9794905722791928,0.10606060606060606
C1837098,Easy fatigability,,18,0.0,0.0,0.35,0.3,0.7367983657551419,0.14414610121725532,0.3,0.2,0.7126677190213102,0.13585974476895551,0.35,0.3,0.7222758716750001,0.115755919136,0.4,0.4,0.8159222805144155,0.12434236395177498,0.35,0.15,0.7105285760713125,0.01059074772745212,0.15,0.15,0.5690839871860347,0.1500696350812428,0.15,0.1,0.6597636844793167,0.018830056213560428,0.9775491113189896,0.9708160181337364,0.0784313725490196
C0018991,Hemiplegia,,13,0.05,0.13,0.0,0.0,0.7195878202747865,0.00041236425064649686,0.0,0.0,0.7197525993316004,0.0007091918240843138,0.0,0.0,0.704017359822,0.000815425000954,0.0,0.0,0.6993733754177497,0.0004226402004601629,0.0,0.0,0.488864649090234,6.0337533191168777e-05,0.0,0.0,0.5427868548087635,0.000543500963108132,0.0,0.0,0.5598403267731155,0.0003115880352379937,0.9762308998302208,0.9761198457431031,0.08974358974358974
