,disease_name,disease_num_significant,disease_top_10,lci_jaccard_sim,lci_num_significant,lci_top_10
C4025616,CNS hypomyelination,27,"{'cellular amino acid metabolic process', 'transcription by RNA polymerase III', 'RNA polymerase III activity', 'DNA-directed RNA polymerase complex', 'catalytic activity, acting on RNA', 'nuclear DNA-directed RNA polymerase complex', 'ligase activity', 'RNA polymerase III complex', 'cytoplasmic part', 'tRNA aminoacylation for protein translation'}",0.14432989690721648,84,"{""DNA-directed 5'-3' RNA polymerase activity"", 'transcription by RNA polymerase III', 'RNA polymerase III activity', 'DNA-directed RNA polymerase complex', ""5'-3' RNA polymerase activity"", 'nuclear DNA-directed RNA polymerase complex', 'RNA polymerase complex', 'RNA polymerase activity', 'nucleotidyltransferase activity', 'RNA polymerase III complex'}"
C0020179,Huntington Disease,17,"{'positive regulation of programmed cell death', 'regulation of programmed cell death', 'regulation of cell death', 'positive regulation of apoptotic process', 'response to alcohol', 'regulation of apoptotic process', 'dopamine catabolic process', 'catechol-containing compound catabolic process', 'primary amine oxidase activity', 'catecholamine catabolic process'}",0.028169014084507043,56,"{'primary alcohol metabolic process', 'oxidoreductase activity, acting on CH-OH group of donors', 'oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor', 'alcohol dehydrogenase (NAD) activity', 'oxidation-reduction process', 'alcohol dehydrogenase activity, zinc-dependent', 'ethanol metabolic process', 'oxidoreductase activity', 'transition metal ion binding', 'ethanol oxidation'}"
C1866141,Foot dorsiflexor weakness,85,"{'organelle organization', 'sarcomerogenesis', 'Z disc', 'intracellular transport', 'tRNA binding', 'intracellular non-membrane-bounded organelle', 'non-membrane-bounded organelle', 'contractile fiber part', 'cytosol', 'cellular process'}",0.1440677966101695,50,"{'myofibril', 'structural molecule activity', 'M band', 'structural constituent of muscle', 'titin binding', 'sarcomere organization', 'muscle tissue morphogenesis', 'contractile fiber part', 'cardiac muscle tissue morphogenesis', 'structural constituent of eye lens'}"
C0233315,Premature birth of newborn,274,"{'protein targeting to peroxisome', 'peroxisomal membrane', 'peroxisomal membrane transport', 'peroxisomal part', 'protein import into peroxisome matrix', 'peroxisome organization', 'microbody part', 'protein localization to peroxisome', 'establishment of protein localization to peroxisome', 'microbody membrane'}",0.13004484304932734,230,"{'microbody', 'intracellular organelle lumen', 'peroxisomal membrane', 'organelle lumen', 'peroxisomal part', 'microbody part', 'peroxisome', 'membrane-enclosed lumen', 'microbody membrane', 'peroxisomal matrix'}"
C2675111,Abnormal eyelashes,0,"{'structural molecule activity', 'keratin filament', 'platelet-derived growth factor binding', 'keratinization', 'anatomical structure development', 'cornification', 'connexin complex', 'cell death', 'programmed cell death', 'fibrillar collagen trimer'}",0.0,68,"{'endoplasmic reticulum lumen', 'extracellular matrix structural constituent conferring tensile strength', 'platelet-derived growth factor binding', 'extracellular matrix', 'gap junction channel activity', 'extracellular matrix structural constituent', 'collagen trimer', 'extracellular matrix organization', 'extracellular structure organization', 'endoplasmic reticulum part'}"
C1860475,Tortuous retinal vessels,65,"{'NADH dehydrogenase (ubiquinone) activity', 'NADH dehydrogenase (quinone) activity', 'mitochondrial membrane part', 'inner mitochondrial membrane protein complex', 'generation of precursor metabolites and energy', 'respiratory chain complex', 'respiratory electron transport chain', 'oxidoreductase complex', 'NADH dehydrogenase activity', 'electron transport chain'}",0.5909090909090909,75,"{'heme-copper terminal oxidase activity', 'oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor', 'oxidoreductase activity, acting on a heme group of donors', 'oxidation-reduction process', 'cytochrome-c oxidase activity', 'generation of precursor metabolites and energy', 'respiratory chain complex', 'respiratory electron transport chain', 'mitochondrial part', 'electron transport chain'}"
C0581381,Recurrent upper respiratory tract infection,102,"{'glycosaminoglycan catabolic process', 'lysosomal lumen', 'aminoglycan catabolic process', 'vacuolar lumen', 'carbohydrate derivative catabolic process', 'aminoglycan metabolic process', 'sulfuric ester hydrolase activity', 'immune system process', 'glycosaminoglycan metabolic process', 'leukocyte activation'}",0.2558139534883721,114,"{'glycosphingolipid catabolic process', 'lysosomal lumen', 'hydrolase activity, hydrolyzing O-glycosyl compounds', 'vacuolar lumen', 'carbohydrate derivative catabolic process', 'hydrolase activity, acting on glycosyl bonds', 'carbohydrate metabolic process', 'glucosidase activity', 'glycosphingolipid metabolic process', 'oligosaccharide metabolic process'}"
C1836996,Marfanoid body habitus,54,"{'animal organ development', 'regulation of extrinsic apoptotic signaling pathway in absence of ligand', 'regulation of extrinsic apoptotic signaling pathway', 'identical protein binding', 'maintenance of protein location in extracellular region', 'extracellular matrix component', 'anatomical structure development', 'anatomical structure morphogenesis', 'tissue development', 'sequestering of TGFbeta in extracellular matrix'}",0.08571428571428572,22,"{'extracellular region', 'structural molecule activity', 'extracellular matrix', 'microfibril', 'extracellular matrix structural constituent conferring tensile strength', 'extracellular matrix component', 'extracellular matrix structural constituent', 'extracellular matrix organization', 'extracellular structure organization', 'collagen-containing extracellular matrix'}"
C1290857,Disorder of face,18,"{'elastic fiber', 'elastic fiber assembly', 'response to endogenous stimulus', 'extracellular matrix constituent conferring elasticity', 'serotonin metabolic process', 'cellular response to hyperoxia', 'structural molecule activity conferring elasticity', 'extracellular matrix organization', 'extracellular structure organization', 'response to oxygen levels'}",0.0,28,"{'alpha-sialidase activity', 'lysosomal lumen', 'hydrolase activity, hydrolyzing O-glycosyl compounds', 'vacuolar lumen', 'aminoglycan catabolic process', 'carbohydrate derivative catabolic process', 'hydrolase activity, acting on glycosyl bonds', 'exo-alpha-sialidase activity', 'vacuolar part', 'glycosaminoglycan catabolic process'}"
C0017601,Glaucoma,346,"{'sensory perception', 'detection of abiotic stimulus', 'detection of external stimulus', 'system process', 'visual perception', 'sensory perception of light stimulus', 'detection of light stimulus', 'ciliary part', 'multicellular organismal process', 'nervous system process'}",0.11009732360097324,1479,"{'response to chemical', 'intracellular organelle lumen', 'response to organic substance', 'organelle lumen', 'developmental process', 'extracellular matrix structural constituent', 'anatomical structure morphogenesis', 'membrane-enclosed lumen', 'extracellular matrix organization', 'extracellular structure organization'}"
C0162670,Mitochondrial Myopathies,195,"{'organelle inner membrane', 'mitochondrial inner membrane', 'aerobic respiration', 'respiratory chain complex', 'generation of precursor metabolites and energy', 'respiratory electron transport chain', 'mitochondrial part', 'mitochondrial protein complex', 'mitochondrial membrane', 'electron transport chain'}",0.2648401826484018,82,"{'heme-copper terminal oxidase activity', 'oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor', 'oxidoreductase activity, acting on a heme group of donors', 'proton transmembrane transporter activity', 'cytochrome-c oxidase activity', 'generation of precursor metabolites and energy', 'respiratory chain complex', 'oxidoreductase activity', 'electron transfer activity', 'electron transport chain'}"
C0036337,Schizoaffective Disorder,0,"{'regulation of cellular process', 'iron ion transmembrane transport', 'intracellular vesicle', 'regulation of iron ion transport', 'cytoplasmic vesicle', 'HFE-transferrin receptor complex', 'cellular response to iron ion', 'signaling receptor binding', 'cellular process', 'transferrin receptor binding'}",0.0,31,"{'hormone activity', 'microbody', 'regulation of activated T cell proliferation', 'positive regulation of activated T cell proliferation', 'regulation of cellular carbohydrate metabolic process', 'regulation of insulin-like growth factor receptor signaling pathway', 'peroxisome', 'extracellular space', 'monocarboxylic acid metabolic process', 'regulation of glucose metabolic process'}"
C0262361,abnormal growth,123,"{'organelle inner membrane', 'oxidoreductase complex', 'oxidation-reduction process', 'respiratory chain complex', 'respiratory electron transport chain', 'mitochondrial protein complex', 'cytoplasmic part', 'oxidoreductase activity', 'mitochondrial alpha-ketoglutarate dehydrogenase complex', 'electron transport chain'}",0.19285714285714287,211,"{'heme-copper terminal oxidase activity', 'enzyme linked receptor protein signaling pathway', 'oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor', 'oxidoreductase activity, acting on a heme group of donors', 'platelet-derived growth factor binding', 'proton transmembrane transport', 'cytochrome-c oxidase activity', 'BMP signaling pathway', 'extracellular space', 'transmembrane receptor protein serine/threonine kinase signaling pathway'}"
C0003469,Anxiety Disorders,739,"{'positive regulation of synaptic transmission', 'system process', 'learning or memory', 'behavior', 'multicellular organismal process', 'regulation of trans-synaptic signaling', 'cognition', 'modulation of chemical synaptic transmission', 'feeding behavior', 'nervous system process'}",0.20689655172413793,276,"{'neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential', 'postsynaptic neurotransmitter receptor activity', 'transmembrane signaling receptor activity', 'signaling receptor activity', 'trans-synaptic signaling', 'neurotransmitter receptor activity', 'intrinsic component of plasma membrane', 'integral component of plasma membrane', 'G protein-coupled receptor signaling pathway', 'molecular transducer activity'}"
C0037822,Speech Disorders,243,"{'cell part', 'biological_process', 'intracellular organelle part', 'developmental process', 'intracellular part', 'molecular_function', 'anatomical structure development', 'cytoplasmic part', 'organelle part', 'cellular process'}",0.07374631268436578,121,"{'keratan sulfate catabolic process', 'glycosaminoglycan catabolic process', 'lysosomal lumen', 'hydrolase activity, hydrolyzing O-glycosyl compounds', 'aminoglycan catabolic process', 'vacuolar lumen', 'hydrolase activity, acting on glycosyl bonds', 'aminoglycan metabolic process', 'mucopolysaccharide metabolic process', 'glycosaminoglycan metabolic process'}"
C0025160,Megacolon,277,"{'neural crest cell migration', 'positive regulation of developmental process', 'ameboidal-type cell migration', 'enteric nervous system development', 'developmental process', 'system development', 'positive regulation of multicellular organismal process', 'multicellular organismal process', 'nervous system development', 'anatomical structure development'}",0.26424870466321243,211,"{'vascular smooth muscle contraction', 'regulation of vasoconstriction', 'regulation of blood vessel diameter', 'regulation of blood vessel size', 'smooth muscle contraction', 'vasoconstriction', 'negative regulation of blood vessel diameter', 'artery smooth muscle contraction', 'tonic smooth muscle contraction', 'regulation of tube diameter'}"
C4024641,Enlarged polycystic ovaries,54,"{'regulation of hormone levels', 'glucocorticoid biosynthetic process', 'response to hormone', 'hormone biosynthetic process', 'hormone metabolic process', 'glucocorticoid metabolic process', 'steroid metabolic process', 'androgen metabolic process', 'cellular response to hormone stimulus', 'cellular hormone metabolic process'}",0.13829787234042554,53,"{'cellular glucuronidation', 'endoplasmic reticulum membrane', 'glucuronate metabolic process', 'lipid metabolic process', 'glucuronosyltransferase activity', 'uronic acid metabolic process', 'steroid metabolic process', 'steroid dehydrogenase activity', 'endoplasmic reticulum part', 'cellular hormone metabolic process'}"
C0008372,Intrahepatic Cholestasis,9,"{'bile acid metabolic process', 'organic cyclic compound biosynthetic process', 'bile acid biosynthetic process', 'monocarboxylic acid transport', 'small molecule biosynthetic process', 'organic hydroxy compound biosynthetic process', 'steroid biosynthetic process', 'carboxylic acid transport', 'steroid metabolic process', 'organic acid transport'}",0.0,0,"{'regulation of serotonin uptake', 'negative regulation of neurotransmitter uptake', 'regulation of modification of postsynaptic structure', 'negative regulation of serotonin uptake', 'regulation of modification of synaptic structure', 'prostaglandin transport', 'leukotriene signaling pathway', 'prostaglandin secretion', 'extracellular structure organization', 'ATP hydrolysis coupled anion transmembrane transport'}"
C0009024,Clonus,53,"{'organelle inner membrane', 'mitochondrial membrane', 'mitochondrial inner membrane', 'aerobic respiration', 'energy derivation by oxidation of organic compounds', 'respiratory chain complex', 'respiratory electron transport chain', 'mitochondrial part', 'cellular respiration', 'electron transport chain'}",0.5977011494252874,86,"{'heme-copper terminal oxidase activity', 'oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor', 'oxidoreductase activity, acting on a heme group of donors', 'mitochondrial inner membrane', 'oxidation-reduction process', 'cytochrome-c oxidase activity', 'generation of precursor metabolites and energy', 'respiratory chain complex', 'oxidoreductase activity', 'electron transport chain'}"
C0020302,Hydrophthalmos,78,"{'protein O-linked glycosylation', 'macromolecule glycosylation', 'transferase activity, transferring hexosyl groups', 'protein O-linked mannosylation', 'glycosylation', 'mannosylation', 'protein glycosylation', 'regulation of protein modification process', 'regulation of protein glycosylation', 'protein mannosylation'}",0.07194244604316546,71,"{'chondroitin sulfate metabolic process', 'carbohydrate derivative biosynthetic process', 'aminoglycan biosynthetic process', 'sulfur compound biosynthetic process', 'glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase activity', 'aminoglycan metabolic process', 'glycosaminoglycan biosynthetic process', 'mucopolysaccharide metabolic process', 'glycosaminoglycan metabolic process', 'chondroitin sulfate biosynthetic process'}"
C0005910,Body Weight,0,"{'regulation of hormone levels', 'regulation of localization', 'creatinine homeostasis', 'regulation of brain-derived neurotrophic factor receptor signaling pathway', 'cellular response to cortisol stimulus', 'positive regulation of brain-derived neurotrophic factor receptor signaling pathway', 'regulation of hormone secretion', 'cellular urea homeostasis', 'gastric inhibitory peptide signaling pathway', 'cellular creatinine homeostasis'}",0.0,0,"{'islet amyloid polypeptide processing', 'enkephalin processing', 'negative regulation of interleukin-1 alpha production', 'regulation of cyclase activity', 'fluorene metabolic process', 'regulation of lyase activity', 'phospholipase C-activating G protein-coupled receptor signaling pathway', 'enteric smooth muscle cell differentiation', 'negative regulation of interleukin-1 alpha secretion', 'interleukin-1 receptor activity'}"
C1408258,Kidney damage,32,"{'intracellular organelle lumen', 'sensory organ development', 'organelle lumen', 'excretion', 'cilium', 'membrane-enclosed lumen', 'cytoplasmic part', 'gland development', 'organelle part', 'ciliary transition zone'}",0.0,58,"{'flavin-containing compound metabolic process', 'nucleotide diphosphatase activity', 'phosphodiesterase I activity', 'collagen type IV trimer', 'collagen-activated signaling pathway', 'extracellular matrix component', 'network-forming collagen trimer', 'riboflavin metabolic process', 'basement membrane collagen trimer', 'collagen-activated tyrosine kinase receptor signaling pathway'}"
C0034194,Pyloric Stenosis,141,"{'protein targeting to peroxisome', 'peroxisomal membrane', 'peroxisomal membrane transport', 'peroxisomal part', 'protein import into peroxisome matrix', 'peroxisome organization', 'microbody part', 'protein localization to peroxisome', 'establishment of protein localization to peroxisome', 'microbody membrane'}",0.14835164835164835,68,"{'peroxisomal transport', 'microbody', 'peroxisomal membrane', 'peroxisomal part', 'peroxisome organization', 'microbody part', 'peroxisome', 'microbody lumen', 'microbody membrane', 'peroxisomal matrix'}"
C1850496,Neuronal loss,95,"{'neuron part', 'chemical homeostasis', 'intracellular organelle part', 'behavior', 'synapse part', 'biological regulation', 'cellular homeostasis', 'cognition', 'organelle part', 'cellular chemical homeostasis'}",0.0,23,"{'extracellular region part', 'extracellular exosome', 'intrinsic component of membrane', 'secondary active transmembrane transporter activity', 'inorganic molecular entity transmembrane transporter activity', 'integral component of membrane', 'extracellular vesicle', 'extracellular organelle', 'solute:cation symporter activity', 'symporter activity'}"
C0241355,Small testicle,447,"{'regulation of multicellular organismal process', 'developmental process involved in reproduction', 'regulation of developmental process', 'developmental process', 'positive regulation of multicellular organismal process', 'biological regulation', 'anatomical structure development', 'reproductive structure development', 'cellular developmental process', 'reproductive process'}",0.2979942693409742,459,"{'phosphatidylinositol-3-phosphate biosynthetic process', 'fibroblast growth factor receptor binding', '1-phosphatidylinositol-3-kinase activity', 'phosphatidylinositol 3-kinase activity', 'phosphatidylinositol phosphorylation', 'phosphatidylinositol bisphosphate kinase activity', 'phosphatidylinositol kinase activity', 'phosphatidylinositol-4,5-bisphosphate 3-kinase activity', 'fibroblast growth factor receptor signaling pathway', 'lipid phosphorylation'}"
C0027055,Myocardial Reperfusion Injury,1036,"{'response to chemical', 'response to stimulus', 'response to stress', 'response to oxygen-containing compound', 'response to organic substance', 'regulation of programmed cell death', 'regulation of cell death', 'response to abiotic stimulus', 'regulation of apoptotic process', 'response to lipid'}",0.30182599355531686,1388,"{'response to chemical', 'positive regulation of response to stimulus', 'response to organic substance', 'regulation of signal transduction', 'positive regulation of signaling', 'positive regulation of signal transduction', 'cellular response to organic substance', 'positive regulation of cell communication', 'positive regulation of intracellular signal transduction', 'cellular response to chemical stimulus'}"
C0277959,Coarse hair,120,"{'positive regulation of response to stimulus', 'signal transduction by protein phosphorylation', 'ion binding', 'phosphorylation', 'regulation of Ras protein signal transduction', 'anatomical structure morphogenesis', 'signal transduction', 'immune system process', 'positive regulation of intracellular signal transduction', 'MAPK cascade'}",0.162,461,"{'enzyme linked receptor protein signaling pathway', 'transmembrane receptor protein tyrosine kinase signaling pathway', 'myeloid cell activation involved in immune response', 'protein tyrosine kinase activity', 'peptidyl-tyrosine phosphorylation', 'lysosomal lumen', 'peptidyl-tyrosine modification', 'intracellular signal transduction', 'regulation of ERK1 and ERK2 cascade', 'Ras guanyl-nucleotide exchange factor activity'}"
C0277828,Late fontanel closure,235,"{'cell development', 'protein-containing complex', 'regulation of cell population proliferation', 'animal organ morphogenesis', 'regulation of developmental process', 'developmental process', 'regulation of chromosome organization', 'anatomical structure morphogenesis', 'negative regulation of biological process', 'cellular developmental process'}",0.12171052631578948,106,"{'enzyme linked receptor protein signaling pathway', 'phosphatidylinositol-3-phosphate biosynthetic process', 'transmembrane receptor protein tyrosine kinase signaling pathway', 'fibroblast growth factor binding', 'protein tyrosine kinase activity', '1-phosphatidylinositol-3-kinase activity', 'phosphatidylinositol kinase activity', 'phosphatidylinositol-4,5-bisphosphate 3-kinase activity', 'fibroblast growth factor receptor signaling pathway', 'fibroblast growth factor-activated receptor activity'}"
C4020813,Increased gastric cancer,695,"{'regulation of DNA metabolic process', 'positive regulation of response to stimulus', 'regulation of developmental process', 'positive regulation of nitrogen compound metabolic process', 'negative regulation of mitotic cell cycle', 'intracellular signal transduction', 'regulation of response to stimulus', 'germ cell development', 'signal transduction', 'apoptotic signaling pathway'}",0.2564935064935065,466,"{'enzyme linked receptor protein signaling pathway', 'transmembrane receptor protein tyrosine kinase signaling pathway', 'positive regulation of protein phosphorylation', 'protein tyrosine kinase activity', 'protein autophosphorylation', 'peptidyl-tyrosine phosphorylation', 'peptidyl-tyrosine modification', 'phosphorylation', 'positive regulation of signal transduction', 'positive regulation of intracellular signal transduction'}"
C0018553,"Hamartoma Syndrome, Multiple",148,"{'fumarate reductase complex', 'succinate dehydrogenase complex (ubiquinone)', 'mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)', 'regulation of smooth muscle cell proliferation', 'regulation of organ growth', 'regulation of developmental growth', 'succinate dehydrogenase complex', 'succinate dehydrogenase (ubiquinone) activity', 'succinate dehydrogenase activity', 'oxidoreductase activity, acting on the CH-CH group of donors, quinone or related compound as acceptor'}",0.05699481865284974,56,"{'carboxylic acid metabolic process', 'cofactor metabolic process', 'mitochondrial matrix', 'succinate-CoA ligase activity', 'drug metabolic process', 'mitochondrion', 'oxoacid metabolic process', 'succinate metabolic process', 'mitochondrial part', 'succinate-CoA ligase (ADP-forming) activity'}"
C2751582,Mitochondrial respiratory chain defects,71,"{'NADH dehydrogenase (ubiquinone) activity', 'NADH dehydrogenase (quinone) activity', 'mitochondrial membrane part', 'inner mitochondrial membrane protein complex', 'generation of precursor metabolites and energy', 'respiratory chain complex', 'respiratory electron transport chain', 'oxidoreductase complex', 'NADH dehydrogenase activity', 'electron transport chain'}",0.4090909090909091,53,"{'heme-copper terminal oxidase activity', 'alpha-amylase activity', 'oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor', 'oxidoreductase activity, acting on a heme group of donors', 'alpha-amylase activity (releasing maltohexaose)', 'proton transmembrane transporter activity', 'cytochrome-c oxidase activity', 'generation of precursor metabolites and energy', 'electron transfer activity', 'electron transport chain'}"
C3887875,Visual field defects,15,"{'sensory perception', 'photoreceptor cell maintenance', 'visual perception', 'sensory perception of light stimulus', 'photoreceptor connecting cilium', 'developmental process', 'photoreceptor outer segment', 'photoreceptor inner segment', 'multicellular organismal process', 'anatomical structure development'}",0.023255813953488372,29,"{'extracellular matrix structural constituent conferring tensile strength', 'collagen type IV trimer', 'collagen-activated signaling pathway', 'extracellular matrix component', 'network-forming collagen trimer', 'extracellular matrix structural constituent', 'collagen trimer', 'collagen-activated tyrosine kinase receptor signaling pathway', 'basement membrane collagen trimer', 'collagen-containing extracellular matrix'}"
C0035412,Rhabdomyosarcoma,223,"{'mismatch repair complex binding', 'isotype switching', 'somatic diversification of immune receptors', 'somatic hypermutation of immunoglobulin genes', 'somatic recombination of immunoglobulin genes involved in immune response', 'somatic diversification of immunoglobulins', 'somatic diversification of immunoglobulins involved in immune response', 'mismatch repair complex', 'somatic diversification of immune receptors via somatic mutation', 'mismatched DNA binding'}",0.14186851211072665,107,"{'meiotic cell cycle process', 'single-stranded DNA endodeoxyribonuclease activity', 'DNA double-strand break processing', 'DNA repair', 'telomere organization', 'telomere maintenance', 'double-strand break repair', 'negative regulation of DNA metabolic process', 'regulation of mitotic recombination', 'DNA replication'}"
C0730290,Cone dystrophy,25,"{'sensory perception', 'detection of abiotic stimulus', 'detection of external stimulus', 'system process', 'detection of visible light', 'visual perception', 'sensory perception of light stimulus', 'detection of light stimulus', 'ciliary part', 'nervous system process'}",0.08421052631578947,181,"{'cyclic nucleotide biosynthetic process', 'purine nucleotide biosynthetic process', 'purine ribonucleotide biosynthetic process', 'cyclic nucleotide metabolic process', 'cyclic purine nucleotide metabolic process', 'lyase activity', 'ribonucleotide biosynthetic process', 'purine-containing compound biosynthetic process', 'cyclase activity', 'phosphorus-oxygen lyase activity'}"
C2674432,Decreased bone mineral density Z score,198,"{'animal organ development', 'regulation of multicellular organismal development', 'animal organ morphogenesis', 'positive regulation of developmental process', 'developmental process', 'positive regulation of multicellular organismal process', 'anatomical structure development', 'positive regulation of cell differentiation', 'tooth eruption', 'movement of cell or subcellular component'}",0.27146814404432135,261,"{'phosphatidylinositol-3-phosphate biosynthetic process', 'fibroblast growth factor receptor binding', 'protein tyrosine kinase activity', '1-phosphatidylinositol-3-kinase activity', 'phosphatidylinositol 3-kinase activity', 'phosphatidylinositol phosphorylation', 'phosphatidylinositol bisphosphate kinase activity', 'phosphatidylinositol kinase activity', 'phosphatidylinositol-4,5-bisphosphate 3-kinase activity', 'fibroblast growth factor receptor signaling pathway'}"
C0232461,Increased appetite (finding),20,"{'energy reserve metabolic process', 'positive regulation of cold-induced thermogenesis', 'metabolic process', 'response to endogenous stimulus', 'central nervous system neuron development', 'energy derivation by oxidation of organic compounds', 'regulation of biological quality', 'regulation of endocrine process', 'regulation of bone remodeling', 'primary metabolic process'}",0.0,11,"{'polysaccharide digestion', 'alpha-amylase activity', 'alpha-amylase activity (releasing maltohexaose)', 'maltose alpha-glucosidase activity', 'hydrolase activity, hydrolyzing O-glycosyl compounds', 'alpha-1,4-glucosidase activity', 'amylase activity', 'hydrolase activity, acting on glycosyl bonds', 'carbohydrate metabolic process', 'maltose metabolic process'}"
C0008297,Choanal Atresia,281,"{'skeletal system development', 'positive regulation of metabolic process', 'embryonic limb morphogenesis', 'embryonic morphogenesis', 'embryonic appendage morphogenesis', 'anatomical structure morphogenesis', 'regulation of developmental growth', 'appendage morphogenesis', 'limb morphogenesis', 'developmental growth'}",0.20803782505910165,230,"{'phosphatidylinositol-3-phosphate biosynthetic process', 'fibroblast growth factor receptor binding', 'protein tyrosine kinase activity', '1-phosphatidylinositol-3-kinase activity', 'phosphatidylinositol 3-kinase activity', 'phosphatidylinositol phosphorylation', 'phosphatidylinositol bisphosphate kinase activity', 'phosphatidylinositol kinase activity', 'phosphatidylinositol-4,5-bisphosphate 3-kinase activity', 'fibroblast growth factor receptor signaling pathway'}"
C0079772,T-Cell Lymphoma,539,"{'positive regulation of macromolecule biosynthetic process', 'regulation of transcription, DNA-templated', 'regulation of nucleobase-containing compound metabolic process', 'regulation of macromolecule biosynthetic process', 'regulation of cellular macromolecule biosynthetic process', 'positive regulation of gene expression', 'regulation of RNA biosynthetic process', 'regulation of RNA metabolic process', 'regulation of nucleic acid-templated transcription', 'regulation of transcription by RNA polymerase II'}",0.28874388254486133,251,"{'chromatin binding', 'DNA binding', 'transcription regulator activity', 'transcription regulatory region DNA binding', 'nucleoplasm', 'positive regulation of RNA biosynthetic process', 'positive regulation of nucleic acid-templated transcription', 'regulatory region nucleic acid binding', 'transcription factor binding', 'double-stranded DNA binding'}"
C0522214,Abnormal visual evoked potential,15,"{'positive regulation of lipoprotein metabolic process', 'photoreceptor cell maintenance', 'positive regulation of protein lipidation', 'response to light stimulus', 'establishment of protein localization to endoplasmic reticulum membrane', 'positive regulation of organic acid transport', 'positive regulation of endoplasmic reticulum tubular network organization', 'response to radiation', 'tooth eruption', 'organelle part'}",0.0,52,"{'fatty acid metabolic process', 'fatty-acyl-CoA metabolic process', 'carboxylic acid metabolic process', 'alpha-linolenic acid metabolic process', 'oxoacid metabolic process', 'unsaturated fatty acid metabolic process', 'organic acid metabolic process', 'oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water', 'long-chain fatty acid metabolic process', 'monocarboxylic acid metabolic process'}"
C1843700,Variation in muscle fiber size,22,"{'cartilage morphogenesis', 'extracellular matrix structural constituent conferring tensile strength', 'chondrocyte morphogenesis involved in endochondral bone morphogenesis', 'developmental process', 'growth plate cartilage chondrocyte morphogenesis', 'chondrocyte morphogenesis', 'sarcolemma', 'growth plate cartilage morphogenesis', 'collagen type VI trimer', 'cellular developmental process'}",0.0625,29,"{'collagen fibril organization', 'endoplasmic reticulum lumen', 'extracellular matrix', 'extracellular matrix structural constituent conferring tensile strength', 'extracellular matrix component', 'extracellular matrix structural constituent', 'collagen trimer', 'extracellular matrix organization', 'extracellular structure organization', 'fibrillar collagen trimer'}"
C1862265,Elevated gonadotropins,40,"{'developmental process involved in reproduction', 'gonad development', 'ovulation cycle process', 'developmental process', 'sex determination', 'anatomical structure development', 'reproductive structure development', 'positive regulation of cellular biosynthetic process', 'male gonad development', 'reproductive process'}",0.0,1,"{'hormone activity', 'cell-cell signaling', 'protein maturation', 'protein processing', 'hormone-mediated signaling pathway', 'peptide hormone processing', 'sialyltransferase activity', 'sialylation', 'hormone metabolic process', 'oligosaccharide metabolic process'}"
C0581354,Recurrent sinusitis,6,"{'axonemal dynein complex assembly', 'complement activation, classical pathway', 'outer dynein arm assembly', 'regulation of complement activation', 'activation of immune response', 'immune response', 'cilium movement', 'adaptive immune response', 'immune system process', 'inner dynein arm assembly'}",0.0,29,"{'complement receptor activity', 'cell surface receptor signaling pathway', 'complement receptor mediated signaling pathway', 'regulation of complement activation', 'negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway', 'BMP signaling pathway', 'negative regulation of BMP signaling pathway', 'transmembrane receptor protein serine/threonine kinase signaling pathway', 'regulation of BMP signaling pathway', 'regulation of humoral immune response'}"
C0023015,Language Disorders,241,"{'learning or memory', 'regulation of signaling', 'regulation of intracellular signal transduction', 'intracellular signal transduction', 'regulation of trans-synaptic signaling', 'cognition', 'modulation of chemical synaptic transmission', 'regulation of synaptic plasticity', 'regulation of phosphorylation', 'regulation of cell communication'}",0.14655172413793102,158,"{'positive regulation of phosphatidylinositol 3-kinase signaling', 'phosphatidylinositol metabolic process', 'phosphatidylinositol 3-kinase activity', 'regulation of protein kinase B signaling', 'phosphatidylinositol phosphorylation', 'regulation of phosphatidylinositol 3-kinase signaling', 'phosphatidylinositol bisphosphate kinase activity', 'phosphatidylinositol-4,5-bisphosphate 3-kinase activity', 'positive regulation of protein kinase B signaling', 'lipid phosphorylation'}"
