Disease ID,Disease Name,Associated Gene IDs,splits
C0035229,Respiratory Insufficiency,"10262,10290,10516,10683,11019,1140,1144,1145,1277,1278,1281,1289,1301,1302,1303,1305,1373,1376,1439,1493,1593,1636,1639,1785,183,1836,185,1908,2200,2218,2260,2261,2273,2318,23224,23321,23396,23529,2548,26160,26191,2668,2752,29954,3115,3339,3480,3636,3717,3763,3955,3977,3981,4000,4137,4141,4204,427,4352,440,4512,4513,4514,4535,4538,4540,4541,4552,4558,4564,4567,4572,4574,4575,4578,4593,4615,4625,4654,4988,51,51010,51117,51626,5173,5189,5190,5191,5192,5193,5194,5195,5250,5314,5327,5351,5352,54790,54888,54919,54968,55112,55670,5631,5657,5660,57560,58,5813,5824,5828,5830,5913,5972,6023,6261,6576,6616,6662,667,7138,7169,7170,7200,7443,779,7840,8292,8504,8799,8929,90,9056,9131,9244,92667,9409,9531,9742,9963",none
C0850703,Frequent falls,"10243,10749,1778,2273,23533,2741,427,4361,4703,58,6786,9896",4
C0023892,Biliary cirrhosis,"1003,10412,10537,1080,123264,1244,163486,200931,22802,23274,23534,27031,3091,3385,3484,3575,3592,3593,3594,3627,3663,3855,3930,4015,4017,4283,4790,51164,5244,5450,6352,643,6522,6689,6775,6804,7040,7132,7297,79258,915,941,9429,954,9966",8
C0151480,Anti-nuclear factor positive,"23534,26191,355,3559,356,3560,3592,3594,3663,4313,5450,5771,6689,6775,7297,843,919,9966",8
C0852283,Respiratory Distress Syndrome,"10999,1146,2200,3675,4534,4868,501,51119,5339,6628,6662,7080,7994,860,9820",9
C0020649,Hypotension,"11188,1188,1268,134,135,1392,147,1489,150,1583,1585,1636,1644,1812,1813,183,185,1906,1907,1908,213,2246,2641,2736,2767,2890,2904,3269,3284,3351,3352,3458,3552,3553,3558,3569,3630,3827,4001,4057,4128,4129,4221,4306,4582,4791,4878,4879,5015,5020,51422,5173,5327,5328,5368,5443,5449,551,5617,5626,5972,624,6261,6337,6338,6340,6550,6647,6658,6863,7124,7349,7428,7432,788,846,847,866,8820,8942,9049,9095",9
C0424503,Dysmorphic facies,"10134,10771,11285,1134,1139,1144,1146,1349,158,1807,191,2077,2108,2109,2110,2263,2316,2464,26005,26053,26275,2639,2690,3295,3479,3480,3643,3897,4126,4329,444,51021,51305,5147,51621,5184,5193,5308,5426,5830,5832,5894,6134,6664,6748,6913,7546,9150",none
C4023909,Aplasia/Hypoplasia of the abdominal wall musculature,"1146,2239,2317,23522,2719,3845,4893,538,5781,5894,5922,6016,6654,6655,673,72,8216",7
C0426422,Narrow nose,"10108,2138,2263,23742,2697,3653,3763,4313,4692,4693,5077,5159,54,54551,6469,658,6638,7291,7681,8200,8626,8924,9968",none
C0015397,Disorder of eye,"1302,1591,23322,348,3909,4359,4627,4668,4703,51128,5195,5396,5443,54463,547,54716,5573,5624,5728,6335,6885,7259",9
C0302501,Mandibular hyperplasia,"10084,10297,10479,10522,10555,10743,10907,11133,11141,1145,1161,175,2074,2146,2200,2239,2260,2263,2290,2314,2332,2353,2588,25886,26580,2673,2697,2719,2720,29072,3425,3643,3832,4038,4041,4089,4125,4621,4810,4983,5077,50964,5144,51684,54345,54507,5468,54808,54941,55650,5573,5727,5728,5781,5894,6134,6197,6424,6535,6611,6901,7040,7136,7140,7169,7337,760,7737,8242,857,860,8600,8643,8924,9049,9179,9401,9820",none
C0018995,Hemochromatosis,"1356,148738,30061,3077,3240,4891,57817,650,654,6718,7036,7124",6
C0677776,Hereditary Breast and Ovarian Cancer Syndrome,"10111,11200,4361,4683,5728,580,5888,5889,5892,672,675,7157,79728,83990",9
C0014170,Endometrial Neoplasms,"10060,1028,10772,1108,1583,1634,1645,2033,2099,2100,2146,221895,2263,231,23512,27030,2956,3206,3207,3294,332,3480,3576,406985,4216,4524,4609,4780,5074,5241,5424,54894,55294,55558,55743,57016,5728,6347,6405,64061,6716,6770,6820,6935,7422,7869,8204,8289,8405,8644,8743,9021,999",8
C1446712,Overlapping fingers,"1272,2121,2316,4604,4621,5297,7136,7140,7169,7841",0
C0151526,Premature Birth,"10262,10269,10999,1187,1188,1277,1278,1281,1289,1301,1399,1583,1717,1811,1906,2313,2317,25836,26154,2629,26503,3239,3265,3508,3565,3569,3691,3758,3845,4000,4057,4153,4318,4593,4625,5189,5190,5192,5193,5194,5195,5205,5244,5339,54938,54968,55163,55640,55670,5594,5604,5605,5743,5745,5824,5828,5830,5885,5913,613,6223,6469,6557,6648,673,7253,7809,8243,847,8504,8799,9126,9255,9409,9509,9896",none
C0000731,Abdomen distended,"10653,11231,1280,1482,1811,1836,2130,2316,2492,3110,3643,3655,3691,3988,4041,4629,4868,50506,51128,5172,5428,5449,55112,55687,5589,5626,6514,6523,6528,672,7038,7067,7068,7173,72,7252,7253,7490,7849,8022,8820,9321,9839",9
C0018777,Conductive hearing loss,"10002,10194,10210,10262,10297,10461,10594,10743,10804,10907,11107,1146,1258,1259,1280,1312,1406,1723,1909,2077,2138,2261,2263,23020,2314,2316,2317,23384,23418,23426,23568,24,24148,257,25794,25836,26121,26137,26160,2623,2697,27019,2706,2812,29072,2979,3420,3614,4041,4117,421,4222,4751,4853,4854,4901,5075,50939,50964,51082,5145,5148,5158,51715,5238,5396,5447,5456,55624,5648,583,5885,5906,5908,5949,5961,5995,6010,6017,6094,6100,6101,6102,6103,6121,6239,6295,6392,6495,6497,6628,6885,6899,6949,7020,7275,7287,7290,7353,7399,7401,7403,7439,762,8085,8243,8481,8626,8642,8792,8842,90,9126,9128,9129,9227,9241,9343,9401,9487,9533,9632,9742",6
C0266623,Congenital anomaly of neck,"10269,1146,2006,2010,26608,2969,3984,4921,51684,5468,5506,5727,5982,6567,7461,8643,9031,9569,9896",none
C0553692,Brain hemorrhage,"10019,11235,1471,2022,23095,351,368,3717,5627,5979,6390,6392,7428,94",8
C0029454,Osteopetrosis,"10312,1186,2697,28962,29887,4041,760,83706,8517,8600,8792,9842",5
C1263857,Peripheral axonal neuropathy,"10908,16,19,22948,23321,26353,3845,4141,4668,50717,51062,54463,547,55157,710,7276,7466,9990",2
C0027430,Nasal Polyps,"23639,27019,30009,4254,51364,54768,6794,6890,6891,6892",7
C4280615,Defective tooth enamel,"10293,1062,10733,2006,22995,23363,26608,2697,2969,3265,3852,3861,3977,3984,5034,5116,5251,545,55315,55612,5932,5982,6905,7461,860,8626,9031,9361,9569,9820,9871",none
C0265654,Tarsal Coalition,"2192,2261,22856,2317,4621,5447,658,7136,7140,7169,8200,9241",9
C0494475,Tonic - clonic seizures,"10087,10159,10243,10715,10939,1106,1476,151,1759,2055,2562,2566,2645,2997,3630,3651,3767,3778,3785,3786,4511,4512,4513,4514,4519,4535,4538,4540,4541,4558,4564,4566,4567,4572,4574,4575,4577,4578,477,501,5428,5602,5660,6323,6324,6326,6335,6812,6833,6900,701,776,7915,8869",4
C2830004,Somnolence,"1499,1717,1786,1807,22891,3060,3119,3123,3155,4593,4654,5805,5913,6584,673",8
C1849134,Decreased lower limb vibratory sense,"26278,26580,28982,3329,3798,51062,5173,6253,6683,6687,7415,9420,9897",9
C0235942,Skull malformation,"10293,10312,1062,10733,1186,1300,1758,1947,1954,2077,2260,2261,2263,22995,249,29887,3190,4041,4854,51098,5116,5159,5167,51715,5251,5447,545,5648,5932,6497,6608,6938,7046,7048,7291,7545,7994,8600",3
C3278401,Hair hypopigmentation,"10161,1130,1497,28956,4644,472,5053,51151,538,5873,6663,7299",1
C0266544,Microcornea,"10733,10743,10982,1409,1413,1414,1415,1420,1421,182,2074,22930,22931,2313,2314,23322,25782,25836,2697,2703,27077,3149,3166,3339,4010,4094,4810,5015,51057,51259,51715,5308,5351,54880,54903,5885,6309,652,668,6913,7439,7473,8243,8260,9126,9150,9401",none
C1849311,Short first metacarpals,"2535,25836,26040,3209,5116,5885,8200,8243,90,9126,9241",5
C0158646,Cleft palate with cleft lip,"1748,1947,3664,4487,5077,54361,5449,54880,5626,5648,5727,5818,60,652,7046,7048,7473,8022,8260,8517,8626,8820,999",2
C3839460,Nonprogressive,"1145,1285,151,23203,23562,2673,3211,3850,3859,55280,6261,7436",3
C0948023,Urine phosphorous concentration above normal,"1184,1340,1352,1497,1758,1962,22868,229,3172,4221,4952,51204,5167,540,5745,6341,6514,6569,8074,846,9368",4
C1836940,Excess nuchal skin,"1280,1836,1947,23522,23556,25978,2623,2896,3190,3265,3643,368,3845,4137,4893,5167,54209,5663,5781,5894,5922,6016,6654,6655,673,7415,8216,8481,8878,9321",7
C0240295,Mandibular hypoplasia,"10060,10082,10084,1020,10225,10262,10269,10290,10293,10436,10472,1062,1063,10733,10743,10752,10815,10907,10982,1134,1144,1146,1277,1278,1280,1281,1297,1298,1299,1300,1301,1302,1305,1387,1487,1513,1717,1723,1763,1789,1798,1836,1855,1896,1906,1909,2006,2033,2065,2067,2068,207,2073,2074,2132,2146,2200,2248,2260,2263,22858,22930,22931,22995,2314,23141,2316,2317,23314,23322,23384,23483,23522,23556,25778,25782,25836,25885,26123,26227,2626,26276,2629,26608,2690,2697,27077,27245,2733,286,29123,2969,29968,30008,3039,3040,3070,3265,3295,3339,3425,3479,3481,3483,3664,3763,3845,3930,3954,3977,3981,3984,4000,4038,4040,4204,4313,440,4487,4593,4613,4621,4626,4654,4683,4853,4854,4893,4920,4921,4990,4998,5000,5034,5080,50814,5083,51057,51067,51082,51114,5116,51185,51259,51317,5159,51715,5184,5189,5190,5191,5192,5193,5194,5195,5277,5290,5295,5297,5314,538,53834,5396,54101,5424,545,546,54888,54903,54928,55112,55209,55624,55640,55670,5604,5728,5745,5781,5818,5824,5828,5830,5885,5894,5913,5915,5922,5925,5932,5982,6016,6125,6223,6234,627,6309,6473,6497,652,6628,6654,6655,6662,673,6748,6885,6899,6905,6913,6949,699,701,7020,7039,7046,7048,7136,7140,7169,7227,7314,7317,7341,7461,7468,7469,7473,7474,7476,7480,7490,7518,8216,8241,8242,8243,8313,8398,8425,8443,8504,8573,860,8626,8642,871,8799,8813,8815,8818,9031,9126,9150,9184,9244,9321,9343,9401,9409,9427,9496,9509,9533,9569,9640,9702,9791,9841,9871,9896,9897,990,9935,9939,9968",5
C0040411,Tongue Neoplasms,"1410,3265,3315,360,3861,407007,5743,6648,7012,7298",2
C2700617,Irritation - emotion,"1371,1373,1594,1644,1786,2055,2203,22909,249,25839,25978,2639,2643,2653,27030,2731,275,2896,2956,3141,359,383,3845,4072,4137,427,4292,435,4436,445,4693,4914,498,5009,5053,50814,51,51091,5290,5378,5395,54209,551,55275,5538,554,5551,55630,5621,5663,5805,5860,6509,6567,6576,6598,6833,6948,7048,7084,7305,7415,7421,788,8803,8869,8878,9131",0
C0037286,Skin Neoplasms,"1050,10654,11200,1277,1440,1457,1459,1460,1493,1540,2052,2066,2068,207,2185,2321,25913,2697,2706,2709,2736,2952,2993,3091,326,3265,338442,3479,3480,3552,360,3713,3848,3858,3872,4000,4014,4193,4318,434,4780,4854,4878,4913,4952,4953,5155,5159,5467,5727,5743,5970,6023,6608,6648,6667,7040,7046,7133,7157,7299,7507,7517,841,843,8843,940",0
C1851792,Aplasia/Hypoplasia of the earlobes,"10269,1281,1289,2263,2313,3039,3040,4000,5116,55636,9723",6
C3854388,Hyperferritinaemia,"1356,2495,2512,30061,3043,3077,51218,54977,55240,5551,617,6813,7036,9056",none
C1837899,Isoelectric focusing of serum transferrin consistent with CDG type I,"10195,10466,1650,1798,29929,4351,5373,54344,6748,8813",6
C4020958,Rough bone trabeculation,"1736,26277,4982,5073,51750,55135,55315,55505,55651,7012,7015,7421",7
C1854301,Motor delay,"10083,10108,10159,10290,10324,10518,10585,10982,11019,1120,11280,11284,1134,1145,1187,1188,1280,1291,1292,1293,1303,1340,1352,1594,1615,1641,1778,1785,1798,1806,191,1959,2200,2201,2218,2261,22868,2290,22978,23111,23129,2316,23209,23299,23312,23545,23742,26040,2629,2645,2673,2690,2705,27235,274,29954,3028,3251,3479,3480,3481,36,3630,3651,3653,3679,3748,3767,3908,4000,4208,427,4322,4359,4578,4647,4692,4703,4747,4784,4854,4860,50485,5092,51062,51204,51684,51816,5256,5261,5325,5339,5351,5376,54332,54551,54806,54880,549,55033,55157,55624,55699,5631,5727,58,5980,6197,6261,6323,6329,6341,6535,6548,6638,6660,6678,6833,6901,6925,7054,7080,7169,7170,7253,7273,7337,7421,7681,7809,7846,7915,8260,8546,8575,8643,8831,8898,8924,9150,9215,9451,9509,9640,9711,9839,9841,990,9939,9968,9990",none
C4280652,Prominent back of the head,"1028,10984,1513,2316,2317,2737,28952,3265,3481,3784,3845,4613,4853,4893,51098,5277,538,6911,7248,7249,7841,9897",9
C0432333,Abnormal dermatoglyphic pattern,"1717,1723,2138,22930,23522,25782,3209,3265,3845,4893,5075,5781,5894,5906,5908,5922,5925,6016,6654,6655,673,7403,8085,8216",7
C4280666,Triangular head shape,"10225,2260,26005,2737,5727,5925,60,7546,8050,9343",none
C0242698,"Ventricular Dysfunction, Left","111,1440,154,183,2053,355,3569,3630,4306,472,478,4879,488,5327,5350,55600,6648,7139,7416",4
C0085109,Corneal Neovascularization,"10804,1312,2247,22861,2706,2812,421,6239,6899,7290,7353,7422,9632",7
C0010346,Crohn Disease,"114548,117289,1401,149233,151306,159296,163486,1788,219771,2335,2358,2524,3123,339145,345611,3458,3479,3507,3559,3569,3586,3593,3952,4088,4485,4689,54106,5465,5468,55054,5771,60468,6347,64127,64167,6556,6932,7099,7124,7297,7448,8929,9370,9971",9
C0042510,Ventricular Fibrillation,"10008,1832,2056,23171,3630,3753,3757,3764,3784,5328,54539,6324,6331,6336,6640,9992",6
C0392557,Nuclear cataract,"1409,1410,1411,1412,1414,1415,1417,1420,1421,146862,1969,2700,2703,3299,4284,4810,631,7466,79443",none
C4021786,Atypical scarring of skin,"10002,10210,10461,10594,1161,1258,1259,1294,1406,2074,23020,23385,23418,23568,24,24148,25794,26121,26160,2623,2979,3420,3614,4117,4751,4901,50939,5145,5148,5158,5351,538,55624,583,5949,5961,5995,6010,6017,6094,6100,6101,6102,6103,6121,6295,7020,7046,7048,7275,7287,7390,7399,7401,7439,762,8481,8842,9128,9129,9227,9742",none
C2936907,NADH:Q(1) Oxidoreductase deficiency,"126328,25915,29078,374291,4535,4536,4537,4694,4709,4715,4719,4720,4722,4723,4724,4726,4728,4729,51103,55572,55863,79133,80224,91942",3
C4280619,Missing more than six teeth,"11128,1896,2260,2316,23314,29123,3190,3664,3759,4040,4054,4487,5083,54880,55703,6452,7039,7341,7480,8313,8626,9076",none
C0431399,Familial aplasia of the vermis,"200894,219844,23247,27077,4598,51259,54806,54903,56623,65062,65250,7020,79600,79848,79867,91147,95681,9731,9786",0
C0266052,Precocious exfoliation of primary tooth,"10312,1075,10913,1186,249,2697,29887,55612,7421,8600,9896",2
C4228227,Small thymus,"1312,2812,3561,421,472,5830,5896,5897,6239,6899,7290,7353,9632",7
C4280655,Narrow head shape,"10108,10297,10370,11133,11253,1272,1482,1747,182,207,2077,2200,2201,2263,23169,23363,23414,23742,249,2626,2627,2657,2702,2737,29072,3190,3295,3423,3425,3636,3653,3954,411,4591,4598,4692,4853,4854,4882,5000,51098,51259,5189,5190,5192,5193,5194,5195,5297,54551,546,54808,55670,5728,5824,5828,5830,5894,641,6497,6519,6638,673,7020,7291,7317,7421,7468,7469,7681,8481,8504,8799,8924,9409,9581,9820,9896",none
C1860838,Large prominent ears,"10084,10195,10269,10297,10479,1134,1193,182,2006,207,2138,2146,2263,22930,22931,2316,2332,25782,25885,25942,25974,26137,26227,26608,27316,2736,27445,29072,29123,2969,3643,3675,3758,3845,3984,4000,4125,4204,4247,4256,440,4683,4693,4810,4983,5063,5075,50945,5295,5314,5373,547,54820,55690,5604,5605,5696,5727,5728,5818,5832,5906,5908,5982,6299,6492,652,6567,673,6748,6901,7227,7403,7461,8036,8085,8242,8260,8573,867,8905,9031,9049,9569,9640,9791,9990",none
C3536714,Renal dysplasia,"10585,10806,182,2138,2218,2625,27031,2737,29954,3239,3655,3691,5076,51360,5339,55005,5979,6495,6899,8516,8626,9096,9215,9742",none
C0270921,Axonal neuropathy,"10908,16,19,22948,23321,26353,3845,4141,4668,50717,51062,54463,547,55157,710,7276,7466,9990",none
C0235986,Growth hormone excess,"1026,1027,1030,1031,10555,2353,26580,2778,3643,4221,5468,5573,857,9049",2
C0263498,Premature canities,"10269,1736,1908,1910,2006,26191,26277,355,4000,4254,4286,4644,472,5073,5077,51085,51750,5873,6591,6663,7012,7015,7020,7486,9401",5
C0037293,Skin tag,"207,2248,51684,5290,5727,5728,7248,7249,8643,9968",3
C4021780,Abnormality of the liver,"19,2720,3242,335,3431,4891,5189,5190,5192,5193,5194,5195,55670,5824,5828,5830,7018,7428,8504,8799,9409",6
C0392775,Cystic medial necrosis of aorta,"2200,2301,4015,4088,4629,4638,5592,59,7042,7043,7046,7048,8076",none
C0007134,Renal Cell Carcinoma,"10395,10397,10404,10950,11214,11236,114788,120892,1265,1381,1410,142685,144132,1499,1508,1509,158584,1612,1630,1938,201163,2033,2034,2064,207,210,216,2261,23042,2321,23224,2335,23405,23532,238,2475,25844,25953,2705,283092,284013,2886,29072,2944,2950,2952,3035,307,317,324,3313,3315,332,3329,343930,3440,353,3566,3569,3570,3596,374393,3778,3855,3856,3882,3897,3945,4074,4233,4286,43,4585,4771,4893,4968,5037,5058,50944,5162,5230,5290,53353,5443,54790,55193,55367,5546,55745,56776,5728,5743,57731,5816,590,5970,6261,6390,6392,6423,6513,6526,6648,6714,6921,6927,6928,701,7030,7052,7157,7248,7249,7373,7428,79026,79444,8028,81562,822,8242,8313,8314,835,8407,84433,84925,8633,8738,8743,8790,89795,9045,91661,91662,91752,949,95,9745,9817,9820",9
C0277828,Late fontanel closure,"10269,10491,10516,1387,2033,2261,2263,2316,23545,2563,30008,3295,3481,3981,4000,473,4920,5159,5449,54888,54941,5832,6223,6497,7291,8260,8514,9791",8
C2315100,Pediatric failure to thrive,"100,10059,10128,10134,10165,10166,10195,10225,10269,10312,10616,10617,10682,10686,10716,10743,1080,10815,11005,11222,11285,11311,11340,1187,1188,1291,1292,1293,132,1340,1352,1355,1373,1387,1487,1497,1583,1585,1591,1594,16,1643,1650,1716,1717,1718,1736,1789,1806,1811,182,1832,190,191,1956,2033,204,2052,2068,2071,2072,2073,2074,21,210,2121,2131,2132,2184,2245,2260,2271,22845,22868,229,22930,2316,2332,23432,23474,23483,23530,23545,23592,23594,23600,23636,242,249,2517,2563,2581,2582,25821,25836,25915,2592,25974,26040,26154,26235,2627,26276,26277,2628,2629,2632,2639,2645,26503,2697,27245,27247,27249,2778,28755,29078,29760,29887,3030,3032,3039,3040,3054,3239,3242,3265,3291,3295,3394,3479,35,3507,3508,3516,3543,3551,3561,3575,359,3630,3651,3691,3703,3718,3758,3763,3766,3767,3909,3914,3918,3932,3954,3981,3988,4000,4072,4089,4141,4158,4204,4247,4261,427,429,4297,4306,435,4351,4358,440,445,4548,4552,4594,4598,4621,4625,4694,4695,4704,4705,4709,4715,4719,4720,4722,4723,4724,4726,4728,4729,473,4784,4830,4851,4853,4860,4952,498,4998,50,5000,5009,50484,50615,50617,50674,5073,50937,5095,5096,51,51067,51103,51119,51128,51204,51259,51520,51626,51651,51750,5189,5190,5192,5193,5194,5195,5205,5250,5290,5295,5317,5325,5339,5354,5373,53834,540,5428,54539,54567,549,54938,5495,54968,55112,55163,554,5551,55572,55630,55636,55670,5604,5644,5651,5696,570,58,5824,5828,5830,5831,5832,5885,5896,5897,5906,5908,5979,5993,5994,6016,6023,617,6223,6261,6309,6337,6338,6340,6341,6389,6439,6440,6497,6499,6514,6519,6521,6523,6535,6555,6557,657,6584,6595,6609,6662,6718,673,6748,6833,6834,6888,6901,6929,6948,695,7015,7051,7169,7170,7403,7421,7468,7469,7507,7508,7535,7547,760,771,7809,7841,8085,8091,8241,8243,841,8443,846,8504,8514,8540,8625,8647,8799,8802,8803,8813,8815,8820,8869,8929,9056,9101,9126,915,9255,9342,9409,9414,9420,9440,9526,9581,9652,9663,973,974,9791,987,990",4
C0428977,Bradycardia,"10911,11188,1129,134,1392,1543,1565,1813,183,1906,1907,1908,2641,2752,2771,2796,3350,3827,3972,4000,4878,4922,51601,5173,5443,54795,5617,6335,667,6863,6869,7200,7259,776,7849,788",2
C1855285,Protruding ears,"10084,10907,1281,1289,1291,1292,1293,1909,2006,2131,2138,2260,2290,2332,23363,23529,26235,26608,27229,29123,2969,29940,3832,3981,3984,4621,4810,4952,5075,50945,51114,51360,54888,5781,5818,5831,5832,5906,5908,5925,5982,6134,6197,641,7021,7136,7140,7169,7227,7403,7461,8085,9031,9569,9775,9820",9
C0234144,Dysgraphia,"2006,23230,25978,26608,2896,2969,3984,4137,54209,5663,5982,7415,7461,8878,9031,9569",3
C0028960,Oligospermia,"1081,143689,1617,2099,23405,2488,25886,26580,440822,53373,54014,5940,7258,7555,8287,8653",0
C0699743,Congenital muscular dystrophy (disorder),"10585,1120,1291,1292,1293,1303,2218,29925,29954,3679,3908,4000,55624,9215",2
C0010417,Cryptorchidism,"10011,10082,10225,10265,1028,10370,10371,10436,10484,10664,10682,10752,10908,10978,10982,10984,11285,1131,1146,1161,122042,1281,1289,1387,1482,1528,1583,1586,1588,1643,1646,1717,1723,1736,182,1848,1855,190,1947,1954,2033,2068,2071,2072,2073,2074,2121,2132,2146,2175,2176,2177,2178,2239,2245,2253,2260,2261,2263,22858,22930,22931,2313,23133,23141,2316,23169,2317,2332,23322,23384,23414,23426,23483,23522,23545,23556,23594,23767,2516,2535,25782,25836,25942,26012,26227,2626,2627,26277,2657,268,269,2702,27077,27125,2719,2736,2737,2796,2798,286,2879,28952,29123,29954,3039,3040,3190,3265,3284,3293,3339,3481,3636,3640,3664,367,3703,3730,3784,3814,3815,3845,3954,3981,4089,412,4204,4214,4281,4534,4593,4621,4654,4763,4853,4854,4893,4920,4952,4983,4990,4998,5015,5080,51057,51185,51259,51360,5144,51626,51715,51741,5189,5190,5192,5193,5194,5195,5422,5424,5447,545,54551,546,54756,54880,54888,54903,54968,55112,55209,55636,55670,55690,55703,5573,558,5604,5605,5781,5824,5828,5830,5831,585,5885,5889,5894,59,5913,5922,598,60,6016,6134,627,6299,641,652,6595,6597,6598,6605,6611,6654,6655,6657,6658,6662,6663,6664,6716,673,6736,6794,6845,6866,6870,6905,6925,701,7020,7259,7317,7403,7468,7469,7473,7474,7490,7507,7508,7518,7704,8085,8195,8216,8242,8243,8260,8289,836,8450,8504,8626,867,8799,8820,8822,8905,9126,9394,9401,9409,9723,9791,9860,9896,990,9915,9968",7
C0020676,Hypothyroidism,"10020,1482,207,2299,2332,23432,2517,2623,2778,3293,3547,3766,4000,4141,4868,50506,50937,50943,51651,5172,5290,5373,54,5449,55636,5626,5728,6299,6528,6567,6658,6899,7038,7067,7068,7173,7201,7248,7249,7252,7253,7466,7518,7840,7849,8820,8878,9723,987",5
C1168401,Squamous cell carcinoma of the head and neck,"1029,10397,10413,1244,207,282617,3202,3236,3237,3621,3814,407007,4255,4363,50814,5243,5290,540,54556,5728,5743,6648,6774,6845,7157,7465,841,8795,8900,9429",1
C0027819,Neuroblastoma,"100306937,100306938,100306939,1029,10413,11200,1621,23095,238,26038,2778,2956,3082,3265,3456,3845,389421,4004,4233,4292,4436,4513,4609,4613,4826,4830,4893,4914,4915,5243,5395,546,57492,57531,5781,5784,580,590,65018,6790,7015,7054,7153,7869,81704,8289,83593,84181,861,8743,8929",6
C4280629,Hyperplasia of nose,"10436,1062,10847,11154,11253,1513,2033,23522,25886,444,4683,4810,5116,51199,545,54888,5696,5932,641,8450,9640,9775,9968",2
C1844383,Recurrent bacterial infection,"100,10456,10559,10892,1380,1675,1991,23495,2542,29760,29851,3075,3507,3543,3559,4125,4261,4860,5295,5873,5896,5897,5993,5994,6786,6789,6905,695,718,7374,7454,8517,8546,8625,925,930,931,958,959,973,974,975",none
C0342276,Maturity onset diabetes mellitus in young,"1056,2645,3172,3630,3651,3767,4760,5078,640,6927,8462",6
C0266589,Congenital ear anomaly NOS (disorder),"1028,10743,10984,23126,25942,2645,3081,30813,3481,3630,3651,3767,3784,3815,4313,4621,5340,54487,5818,6591,6833,6899,7136,7140,7169,7837,8214,8220,9533,9993",3
C1691215,Penile hypospadias,"10046,10084,10269,1028,10982,1146,1387,1528,1586,1589,1717,1736,190,1947,2033,2121,2239,2260,22858,2316,23384,23414,23426,2516,25836,25942,26040,26235,2626,2719,3052,3209,3239,3284,3481,367,3954,3981,4000,4204,4214,4281,4853,4990,5080,50945,5116,5144,51626,51741,5189,5190,5192,5193,5194,5195,5308,5422,54361,5447,545,546,54880,54888,54968,55209,55670,5573,5781,5824,5828,5830,5885,5932,6134,6165,6299,6657,6662,6736,6748,6770,6845,6928,701,7020,7317,7468,7469,7476,7490,8195,8243,8260,8450,8504,8626,8642,8799,9126,9409,9791,9820,9896,9897,9968",2
C0004763,Barrett Esophagus,"1012,1592,2520,3082,3576,4170,4481,51008,5468,56475,5743,5970,6548,6750,8856",9
C0002736,Amyotrophic Lateral Sclerosis,"10133,10280,10891,1610,1639,1804,203228,2043,2066,23025,23064,23256,23435,2521,25978,2670,27242,283,29110,2936,2950,29978,3178,400916,4137,4336,4744,4750,51163,5216,5321,54209,5444,5445,5446,5630,5663,5743,6311,6506,6529,6647,6648,7157,7415,755,8878,9217,959,9782,9896",3
C0024530,Malaria,"114609,1154,1378,1401,2213,2532,259197,2993,2995,3240,3383,4055,4843,6521,7124,948",2
C0836924,Thrombocytosis,"10019,10269,1991,25,3043,3717,4000,4352,5373,613,6223,7066,811,861",none
C1956346,Coronary Artery Disease,"10,10019,10221,1030,11173,116519,1401,1636,2056,2099,2100,2200,221692,22808,2301,23294,23564,255738,2784,28,283450,2982,3162,325,335,338,345,3654,3667,375056,3762,3949,3988,4000,4015,4018,4049,406938,4088,4314,4629,4638,4846,4879,490,5069,51129,51530,5444,55759,5592,5743,574447,57608,59,6272,6347,6387,64240,64241,64968,6943,7015,7042,7043,7046,7048,7099,7189,7422,80310,8076,84439,84830,8613,9365,9518,959",5
C1860614,ULNAR HYPOPLASIA,"1280,1723,182,2131,2132,2255,2261,2263,23363,3549,4038,5144,51604,5573,567,6154,6473,658,6926,7704,8200,9401,9469,9820",6
C4021550,Elevated follicle stimulating hormone,"1528,1583,1586,190,23414,2516,2626,3284,367,4214,51741,6662,6736,6845,7555",none
C1263846,Attention deficit hyperactivity disorder,"100190790,100190791,10020,10108,10743,1137,1141,121278,1268,1312,1717,1804,1813,1815,1816,2006,215,2245,22909,2313,2314,23230,23284,2332,23742,25836,25942,25970,26040,2626,26608,27030,2776,2812,28964,2903,2911,2915,2917,2918,2956,2969,3479,3653,3845,3981,3984,4072,412,421,4292,4436,450087,450088,450089,450090,4512,4513,4514,4535,4538,4540,4541,4558,4564,4567,4572,4574,4575,4578,4683,4692,4952,4983,5053,51085,51114,5290,5378,5395,54551,54888,55526,55636,5582,5621,57412,5789,5885,5982,6239,6334,6492,6531,6535,6638,6869,6899,7048,7068,7248,7249,7290,7337,7353,7461,7681,8243,8517,8924,9031,9126,9569,9632,9723,9968",8
C0877359,Liver function test increased,"10165,10535,11222,11277,132,1374,1376,1380,1537,1716,1756,178,182,2072,2153,2184,229,23322,23495,23600,2538,2542,25839,26160,26276,27232,2819,28976,29851,3030,3032,3077,3172,3295,34,3717,3930,4141,4358,4598,472,4790,4791,51,51021,51119,51128,51520,51601,51816,5194,5244,5256,5261,5265,5373,540,5424,5428,54344,55532,55687,5580,5696,5824,5825,617,6584,6718,6927,6928,7036,7840,788,8742,8813,930,931,9420,9451,975",none
